"","awcat","auchouse","arname","saleprice","lotesthigh","lotestlow"
"1","PAINTINGS","Phillips","Jack Whitten",333000,300000,200000
"2","PAINTINGS","Phillips","Lynette Yiadom Boakye",273000,90000,70000
"3","PAINTINGS","Sotheby's","Christopher Wool",729000,600000,400000
"4","PAINTINGS","Sotheby's","Hurvin Anderson",1029000,800000,600000
"5","PHOTOGRAPHS","Phillips","Wolfgang Tillmans",465000,300000,200000
"6","PHOTOGRAPHS","Phillips","Gilbert and George",321000,500000,300000
"7","PHOTOGRAPHS","Sotheby's","Wolfgang Tillmans",297000,300000,200000
"8","PHOTOGRAPHS","Sotheby's","Richard Prince",1029000,900000,700000
