"","awcat","lotesthigh_n","lotestlow_n","saleprice_n","lotesthigh_max","lotestlow_max","saleprice_max","lotesthigh_min","lotestlow_min","saleprice_min","lotesthigh_mean","lotestlow_mean","saleprice_mean"
"1","PAINTINGS",74,74,74,18000000,14000000,NA,90000,70000,NA,2113378.37837838,1516486.48648649,2471385.82089552
"2","PHOTOGRAPHS",6,6,6,900000,700000,1029000,200000,150000,175000,416666.666666667,291666.666666667,418666.666666667
"3","PRINTS",1,1,1,1500000,1000000,2349000,1500000,1000000,2349000,1500000,1000000,2349000
"4","SCULPTURE",22,22,22,7000000,5000000,NA,120000,80000,NA,1241818.18181818,875454.545454545,1764847.36842105
"5","TEXTILES",1,1,1,350000,250000,381000,350000,250000,381000,350000,250000,381000
"6","WORKS ON PAPER",7,7,7,1200000,800000,NA,200000,150000,NA,535714.285714286,371428.571428571,532200
